hostname,eth_up_max,log_count
bkj-087e7b4b,5033164800,28362
bkj-0b07f72a,5033164800,18022
bkj-c44b4832,5033164800,9812
bkj-50308f83,5028137496,6134
bkj-5a94d86a,5016371072,3946
bkj-840837ef,5013808790,28798
bkj-6e802696,4938491328,28799
bkj-531a3a74,4922578987,28800
bkj-bd7d57c4,4907818576,3968
bkj-b824363a,4907224520,28798
bkj-d500cde8,4884291411,28799
bkj-7ece2135,4875878400,28799
bkj-d1b3d486,4855774780,28741
bkj-691751c2,4844421120,28798
bkj-c38c5b9a,4844421120,28797
bkj-88d9322f,4823449600,28794
bkj-12dd3257,4823449600,28784
bkj-48e86144,4823449600,11896
bkj-f738f3ba,4786714440,28799
bkj-048049f6,4781506560,28798
bkj-175aa72a,4774191975,28799
bkj-7c6c754a,4767912765,28777
bkj-457affdc,4718592000,28799
bkj-b9c84a8d,4718592000,28793
bkj-c11b90e6,4718592000,28787
bkj-504af8e2,4718592000,28761
bkj-bf5b95fe,4717076904,28798
bkj-0f83b73b,4707473320,28778
bkj-3757f226,4697715360,28797
bkj-e5cfdcb6,4679107916,28781
bkj-659ffb6e,4634705920,28776
bkj-3b2bd024,4613734400,28799
bkj-287aa30b,4613734400,28799
bkj-b256dde4,4613734400,28797
bkj-f50a9d7a,4613734400,28795
bkj-dd87eea1,4612487400,28799
bkj-7d6b1eda,4607433441,19267
bkj-4cd049b5,4599484216,28798
bkj-c94fb224,4529666720,28795
bkj-2e28f1cd,4509715660,28798
bkj-c3843c99,4507241667,28797
bkj-e97f8768,4461690880,28798
bkj-9aa13f2e,4439995000,28780
bkj-b0e5f38c,4404019200,28799
bkj-b5b34dcd,4404019200,28798
bkj-ff152d47,4404019200,28788
bkj-7ce53231,4404019200,2425
bkj-56a8ef2f,4403025678,28666
bkj-099c6b2c,4392185256,19500
bkj-2d6de534,4380472345,28797
bkj-59b7249e,4362076160,28796
bkj-dd891dd2,4362076160,28796
bkj-4158cda3,4357797136,28341
bkj-13cd498f,4348645483,28799
bkj-6b25a06d,4346480463,28798
bkj-1a66435a,4330906020,28801
bkj-83cf63d3,4300717472,28786
bkj-cd849019,4299161600,3751
bkj-a5fe00d7,4294967296,28799
bkj-b0a16929,4293918720,28798
bkj-1244790d,4272765120,28786
bkj-0aeb3004,4266895962,28799
bkj-2d9ebe42,4262346690,28799
bkj-79b6cd4c,4253611614,28784
bkj-5764fe26,4249157234,2806
bkj-6db4b529,4243361892,28786
bkj-391d5669,4230752560,28794
bkj-b734601a,4224769700,28777
bkj-5f67c43b,4194304000,28801
bkj-430b84c7,4194304000,28801
bkj-4227604f,4194304000,28800
bkj-33b0e203,4194304000,28800
bkj-94c7b92f,4194304000,28799
bkj-ca99549f,4194304000,28799
bkj-e49abd24,4194304000,28799
bkj-3f5628dc,4194304000,28798
bkj-80305bfc,4194304000,28798
bkj-c6a1bc15,4194304000,28798
bkj-161e3a86,4194304000,28797
bkj-87923a6b,4194304000,28797
bkj-8439e76a,4194304000,28796
bkj-545b290c,4194304000,28796
bkj-c55140d2,4194304000,28796
bkj-6b46a8cc,4194304000,28796
bkj-aadb0e54,4194304000,28794
bkj-ecbf89fa,4194304000,28794
bkj-f2ffe286,4194304000,28792
bkj-c831853c,4194304000,28790
bkj-be73bca1,4194304000,28789
bkj-d48d2e86,4194304000,28788
bkj-523a33c4,4194304000,28784
bkj-b5be4f66,4194304000,28781
bkj-047df8c9,4194304000,28763
bkj-f7822ab1,4194304000,28750
bkj-5d7dbc0c,4194304000,25955
bkj-c07da49a,4194304000,25609
bkj-cec0f448,4194304000,11876
bkj-9d77213f,4194304000,3738
bkj-0f8fd0dd,4185058912,24972
bkj-dcf3ef46,4183698940,28793
bkj-00e52902,4177382920,28798
bkj-978773bc,4176131060,28798
bkj-8669bdf9,4175679440,28780
bkj-5d134217,4166954220,28790
bkj-40f5c7a5,4164742048,28790
bkj-e72df1cf,4160332020,28793
bkj-ff244b9f,4152360960,28799
bkj-9c23a2a8,4152360960,28799
bkj-b64f79a1,4133592360,28799
bkj-0a5878a0,4130332740,28799
bkj-b986e5d6,4122337564,28799
bkj-5838892d,4089544720,28800
bkj-53f8f7a3,4089446400,28784
bkj-0f2c3ca8,4089446400,28772
bkj-54630776,4089446400,28507
bkj-70f861b3,4089415180,28790
bkj-4bf100fb,4083017184,28386
bkj-485e6d45,4077750208,12082
bkj-00b1edf8,4046651920,28798
bkj-ab2f0d71,4042610232,28795
bkj-fd016036,4023913920,28799
bkj-79596e88,4023298472,28795
bkj-d1142a48,4021602376,28786
bkj-16a52a55,4016627952,28798
bkj-3e160893,3998983384,8987
bkj-64f39f4b,3994067836,28798
bkj-d886ed18,3990564420,28708
bkj-b80871d4,3984588800,28800
bkj-e4da53de,3984588800,28799
bkj-6a7b5911,3984588800,28798
bkj-d1a84998,3984588800,28798
bkj-6574279e,3984588800,28794
bkj-8c158095,3984588800,28790
bkj-ae06610d,3984588800,28789
bkj-ff0283ba,3984588800,28761
bkj-955ea6e5,3984588800,8767
bkj-63be8c46,3980368404,28792
bkj-08332f46,3955110060,28799
bkj-8b648e69,3953756742,28796
bkj-0a015425,3932160000,28799
bkj-23df4232,3894857880,28608
bkj-9a60315a,3891764360,1435
bkj-183c9b90,3890317431,28799
bkj-2457ab78,3887649182,28603
bkj-fc069139,3886940442,28798
bkj-76377e5e,3886847776,28799
bkj-5d91725f,3870052280,28790
bkj-36e8fad3,3865470564,28800
bkj-a930380d,3865470564,28797
bkj-46d2fc54,3858759680,28786
bkj-0d2ad849,3851729466,28797
bkj-9ee8f308,3837195804,28799
bkj-e6ca109b,3806330880,28769
bkj-f5d6b7c2,3806330880,28368
bkj-6a6c5fe2,3799866780,28798
bkj-b5315f93,3779939176,28796
bkj-461965db,3774873600,28800
bkj-842373f2,3774873600,28799
bkj-ca5a6c4c,3774873600,28799
bkj-388d5a57,3774873600,28798
bkj-3693a9c4,3774873600,28798
bkj-0d5cb6ff,3774873600,28794
bkj-daf3548b,3774873600,28793
bkj-1da0e9e1,3774873600,28789
bkj-edaa93af,3774873600,28786
bkj-76d8c49a,3774873600,28782
bkj-e9890876,3774873600,28780
bkj-a3080e46,3774873600,28728
bkj-b0c60864,3774873600,28389
bkj-e6d96fc8,3774873600,27356
bkj-07559572,3774873600,5153
bkj-9b702813,3772388250,28799
bkj-05265544,3769906974,28796
bkj-872b3e2c,3768485116,28718
bkj-febc0f2e,3764893125,28793
bkj-b3fd2ae8,3764323296,28799
bkj-d9c25ec3,3761155716,28797
bkj-8f4948c0,3759542016,28725
bkj-c3df03af,3754838988,28799
bkj-1b16eb5b,3742970556,28801
bkj-8149eac8,3741085688,28787
bkj-ae4c984f,3705618654,2770
bkj-8abef5e5,3690743472,28799
bkj-a80ed891,3681582831,28771
bkj-762e8888,3674646522,18884
bkj-b8f14778,3670016000,28799
bkj-45074d83,3670016000,28799
bkj-4d20836c,3670016000,14947
bkj-fe60ea28,3658548614,28786
bkj-37e34219,3645071072,28799
bkj-ff54d680,3643695861,28799
bkj-33fa2a17,3617587200,11095
bkj-4003437d,3617265120,28800
bkj-ef9abc0f,3575128475,28794
bkj-a4331a91,3565158400,28799
bkj-15f9e0cc,3565158400,28771
bkj-3b30b8e4,3565158400,27949
bkj-6a263b5d,3565052932,28799
bkj-3198dbbf,3547245065,28793
bkj-b22560b4,3543348018,28799
bkj-cc129b3f,3543348018,28798
bkj-219e4413,3543348018,28797
bkj-786c2cac,3543348018,28796
bkj-9fb35e8b,3543348018,28792
bkj-b71f33e0,3543117438,28797
bkj-bf79876c,3529157755,28797
bkj-9710901c,3528617869,28790
bkj-0ffb341c,3523215360,28797
bkj-e2ab7add,3523215360,28779
bkj-ba026ba0,3503358624,27027
bkj-7cce84ef,3498353675,28799
bkj-b07d8eed,3495772095,28799
bkj-8c3378d0,3486456597,28795
bkj-5c2d1366,3475950508,28772
bkj-88006342,3468709869,28204
bkj-046f9f72,3460300800,28795
bkj-689fce3b,3460300800,28792
bkj-827c7375,3460300800,26948
bkj-db07b2ec,3453829700,28758
bkj-8a0124f3,3446292275,4576
bkj-f22824aa,3433965504,28799
bkj-8358a6be,3431662500,27525
bkj-afa4fff7,3431525988,28792
bkj-08a594a8,3407872000,2587
bkj-cab75d3f,3397386240,28798
bkj-05c26a8c,3397386240,28797
bkj-40a54d01,3397386240,28796
bkj-cfe2dd11,3397386240,28788
bkj-06cbcd88,3386918568,28756
bkj-ecc78f85,3375607878,28796
bkj-501eabd7,3370564896,28799
bkj-d8f9c812,3368803844,2692
bkj-55a3c832,3355443200,28801
bkj-28e50d24,3355443200,28800
bkj-01e28967,3355443200,28796
bkj-6c5759db,3355443200,28790
bkj-9775d13f,3355443200,28784
bkj-59b000cb,3355443200,28780
bkj-7d7734cd,3355443200,28700
bkj-f1d32877,3355443200,18917
bkj-f97e688a,3344957440,28799
bkj-81b018f4,3344933408,28795
bkj-31d68278,3335893299,28801
bkj-fa660f85,3328900082,28785
bkj-d611aadf,3303014400,28799
bkj-a16f607b,3303014400,28799
bkj-224e04b0,3303014400,28798
bkj-96abd7e4,3303014400,28792
bkj-3e4b85f6,3303014400,28712
bkj-898fa75a,3303014400,20556
bkj-8b64e058,3300329583,28791
bkj-517100e3,3299821305,6843
bkj-60929170,3299766479,28793
bkj-a74e64d8,3288091044,3871
bkj-919c1a22,3271557120,28776
bkj-5f19e502,3271557120,28675
bkj-8128eccc,3253059056,2830
bkj-629e4835,3252453893,28799
bkj-40bc5847,3250585600,28800
bkj-fd26cfc3,3250585600,28799
bkj-05b45464,3250585600,28799
bkj-462c963c,3250585600,28795
bkj-a8132f2c,3250585600,28777
bkj-ca060f55,3250585600,28686
bkj-e5f464c1,3235381248,28793
bkj-473f15c9,3229614080,28800
bkj-cf8f8242,3229614080,28799
bkj-fe1b18af,3228773025,9753
bkj-d705c48a,3224371200,11906
bkj-5f5e5b24,3221225472,28799
bkj-59a2fffe,3221225472,28799
bkj-ee0a25af,3221225472,28762
bkj-f51c43bd,3217620654,28800
bkj-ed08bbd9,3208642560,22947
bkj-6ef92ca3,3187671040,28781
bkj-449c3fbf,3182394132,28800
bkj-26cbc570,3173630496,28800
bkj-8fc06f72,3169438920,25919
bkj-8cf64add,3152384528,28796
bkj-84e7f36f,3146746062,28799
bkj-b9fff2ef,3146504235,23773
bkj-ee7454ca,3145728000,28800
bkj-1e7a84aa,3145728000,28800
bkj-691467b7,3145728000,28799
bkj-8ead5af7,3145728000,28799
bkj-c9c3395d,3145728000,28798
bkj-4d58a770,3145728000,28795
bkj-bbe6d8fa,3145728000,28795
bkj-870b7dcd,3145728000,28793
bkj-fb6572d8,3145728000,28791
bkj-8d3c484f,3145728000,28787
bkj-9a4778b5,3145728000,28772
bkj-69b32d43,3145728000,28766
bkj-c8d604e1,3145728000,28764
bkj-2d7a1202,3145728000,28758
bkj-af220ba8,3145728000,28613
bkj-3faa4565,3145728000,28604
bkj-ff5fc3fd,3145728000,28450
bkj-eeb4ef1b,3145728000,28411
bkj-6fc8cd52,3145728000,28409
bkj-3fcc2921,3145728000,5054
bkj-152d4be1,3145728000,3114
bkj-55e14443,3145728000,2679
bkj-2d7e6a75,3145109370,28800
bkj-5680f2fd,3137612130,28799
bkj-5e024a90,3135242240,28799
bkj-6d3e2a3c,3135242240,28794
bkj-e76dca11,3135242240,10584
bkj-92df729f,3130068165,28796
bkj-36e78255,3120229146,28799
bkj-5d54637c,3116287320,28801
bkj-f97fd132,3108098256,905
bkj-c00ec131,3105956190,28798
bkj-30463bb4,3100460535,28772
bkj-14eabd6f,3093692184,28798
bkj-df07e886,3090080952,4563
bkj-73927d28,3083077310,28603
bkj-4ad2c309,3082813440,28799
bkj-42c0f6a4,3072811980,28771
bkj-2c967207,3072318672,2437
bkj-7b770c75,3056599040,26941
bkj-30c6e200,3052490690,28619
bkj-27c4acd6,3052466445,28368
bkj-669fbc73,3051373920,28799
bkj-7185b44a,3040870400,28799
bkj-c46848a5,3040870400,28799
bkj-c6479105,3040870400,28784
bkj-a31e9c1f,3040870400,28685
bkj-55acb0be,3040868070,28800
bkj-6b57d9b1,3040450697,28574
bkj-b8c42f05,3035355420,28799
bkj-93d26467,3022275960,28798
bkj-7be8ae65,3020631812,28774
bkj-9b9d26fb,3019898880,28799
bkj-80377c97,3019898880,28794
bkj-30f4046b,3019898880,28749
bkj-9768f444,3008564298,28796
bkj-e1b98339,3001977570,28792
bkj-cb715d21,2998927360,28799
bkj-e9f95443,2998927360,28798
bkj-1987cfd6,2998927360,28791
bkj-62c36981,2988441600,28800
bkj-fb0f5188,2947912089,28784
bkj-22efc480,2936012800,28800
bkj-d972c8ee,2936012800,28799
bkj-5ab245ba,2936012800,28799
bkj-8da57c74,2936012800,28798
bkj-5f8e039d,2936012800,28798
bkj-a10afa07,2936012800,28798
bkj-4e9f1443,2936012800,8252
bkj-845399b3,2936012800,3955
bkj-9b754a21,2924899348,28793
bkj-d9759151,2924578804,28798
bkj-17f98867,2923355683,28746
bkj-2265ec9d,2910927390,28799
bkj-5f586200,2905709310,28787
bkj-afb494fb,2904442016,2859
bkj-1a732942,2899021128,28801
bkj-63ad35e1,2895096740,28795
bkj-0101fc36,2894069760,28796
bkj-30b3078f,2887926510,28802
bkj-a766edbd,2883584000,28798
bkj-5d2f454f,2883584000,28119
bkj-c6ab1851,2876726372,28788
bkj-b6585100,2867014024,28799
bkj-f96f1f0f,2864976777,28781
bkj-102ce7e3,2862612480,28797
bkj-1183efaf,2855805036,28798
bkj-4ba3cd98,2852302680,28694
bkj-19e53fb9,2852126720,28799
bkj-6b176a41,2852126720,28022
bkj-8af5dd89,2849564270,28799
bkj-1264e5f2,2843664120,27920
bkj-d2bd0593,2833472710,28369
bkj-42ecd1c4,2831155200,28801
bkj-38113c31,2831155200,28801
bkj-380d0a5d,2831155200,28800
bkj-0aa15e92,2831155200,28799
bkj-ea8e3586,2831155200,28799
bkj-a6e8ed2f,2831155200,28798
bkj-1ed90ddd,2831155200,28798
bkj-819f24a4,2831155200,28798
bkj-3c5a7d03,2831155200,28798
bkj-1c04af8a,2831155200,28795
bkj-8dac7115,2831155200,28777
bkj-0a801957,2831155200,28661
bkj-4825010a,2831155200,28574
bkj-c0907484,2831155200,1232
bkj-068db384,2829578790,28704
bkj-df98b257,2821048056,28780
bkj-fd4b5551,2819257380,28799
bkj-6d3d753e,2814591825,28798
bkj-ceb90814,2812099581,28798
bkj-41b61b00,2806597764,28800
bkj-e0fbdbc6,2791728742,28797
bkj-d30d12fc,2779703562,28776
bkj-c303cf76,2779599144,28341
bkj-e0e4cf51,2768240640,28799
bkj-687ff2d1,2762321055,28766
bkj-5a436a53,2761120350,28799
bkj-8a635e44,2754569754,28484
bkj-6cbdeb1f,2744993517,28798
bkj-92d90bd4,2739237201,28787
bkj-83a45ea5,2726297600,28797
bkj-1fc3b011,2726297600,28796
bkj-06484277,2726297600,28792
bkj-69d115a4,2726297600,28787
bkj-5edd2c42,2726297600,28764
bkj-0b81a8f8,2726297600,8207
bkj-3938b25b,2726297600,1803
bkj-ff1ac12d,2720889216,28509
bkj-36445ca8,2720875582,28799
bkj-697aeb7a,2710995200,28793
bkj-a858b0b4,2710865670,25607
bkj-c5c20c60,2705918768,28796
bkj-4558af8d,2697172010,28800
bkj-5e70a3bc,2694888638,2447
bkj-eb9e952e,2693787439,6145
bkj-c9ea8d20,2689032190,28788
bkj-8de5b7fe,2688734815,28798
bkj-0a453aaa,2676915696,28795
bkj-4bc0f9f5,2673868800,28801
bkj-6ad625aa,2656780620,28732
bkj-57910d4a,2652897280,28799
bkj-4871e5f6,2652897280,28781
bkj-6221caa1,2642775561,28793
bkj-5f6b959c,2642411520,28795
bkj-97a6c769,2641501086,28797
bkj-9e5daae4,2631361046,28793
bkj-1cee7dac,2621440000,28799
bkj-a104f23d,2621440000,28799
bkj-089e4fc2,2621440000,28798
bkj-dd5914df,2621440000,28798
bkj-61ad69ea,2621440000,28798
bkj-54a898b4,2621440000,28796
bkj-8c7f44d6,2621440000,4596
bkj-a11ccd89,2614141614,28786
bkj-54cd56ed,2576980376,28799
bkj-65ce96bd,2575302656,28801
bkj-fe276946,2569011200,28799
